
epoch    batch             time    (avg time)        loss   (avg loss)    GAP score   (avg score)
---------------------------------------------------------------------------------------------------------
1     |  [330/23828]	|| 0.059 | (0.444)	|| 10.9973 | (11.0848)	|| 0.0000   |   (0.0022)	||
1     |  [340/23828]	|| 0.143 | (0.450)	|| 11.0025 | (11.0837)	|| 0.0000   |   (0.0021)	||
1     |  [350/23828]	|| 0.062 | (0.454)	|| 11.0430 | (11.0828)	|| 0.0000   |   (0.0021)	||
1     |  [360/23828]	|| 0.062 | (0.460)	|| 11.0471 | (11.0833)	|| 0.0000   |   (0.0020)	||
1     |  [370/23828]	|| 0.062 | (0.462)	|| 11.2799 | (11.0840)	|| 0.0000   |   (0.0020)	||
1     |  [380/23828]	|| 0.225 | (0.467)	|| 11.1120 | (11.0848)	|| 0.0000   |   (0.0019)	||
1     |  [390/23828]	|| 0.063 | (0.470)	|| 11.1168 | (11.0858)	|| 0.0000   |   (0.0019)	||
1     |  [400/23828]	|| 0.479 | (0.475)	|| 10.9896 | (11.0866)	|| 0.0000   |   (0.0018)	||
1     |  [410/23828]	|| 0.064 | (0.477)	|| 11.1778 | (11.0863)	|| 0.0000   |   (0.0018)	||
1     |  [420/23828]	|| 1.410 | (0.483)	|| 11.1408 | (11.0870)	|| 0.0000   |   (0.0017)	||
1     |  [430/23828]	|| 0.062 | (0.483)	|| 11.0520 | (11.0861)	|| 0.0000   |   (0.0017)	||
1     |  [440/23828]	|| 1.193 | (0.489)	|| 11.0845 | (11.0851)	|| 0.0000   |   (0.0016)	||
1     |  [450/23828]	|| 0.056 | (0.489)	|| 11.1050 | (11.0838)	|| 0.0000   |   (0.0016)	||
1     |  [460/23828]	|| 2.165 | (0.495)	|| 11.0662 | (11.0831)	|| 0.0000   |   (0.0016)	||
1     |  [470/23828]	|| 0.062 | (0.495)	|| 11.0947 | (11.0828)	|| 0.0000   |   (0.0015)	||
1     |  [480/23828]	|| 1.653 | (0.499)	|| 11.0292 | (11.0832)	|| 0.0000   |   (0.0015)	||
1     |  [490/23828]	|| 0.062 | (0.501)	|| 11.0232 | (11.0827)	|| 0.0000   |   (0.0015)	||
1     |  [500/23828]	|| 1.391 | (0.504)	|| 11.0715 | (11.0828)	|| 0.0000   |   (0.0014)	||
1     |  [510/23828]	|| 0.062 | (0.507)	|| 11.0814 | (11.0819)	|| 0.0000   |   (0.0014)	||
1     |  [520/23828]	|| 0.435 | (0.508)	|| 11.1271 | (11.0824)	|| 0.0000   |   (0.0014)	||
1     |  [530/23828]	|| 0.062 | (0.511)	|| 11.0049 | (11.0830)	|| 0.0000   |   (0.0014)	||
1     |  [540/23828]	|| 0.061 | (0.511)	|| 11.0644 | (11.0836)	|| 0.0000   |   (0.0013)	||
1     |  [550/23828]	|| 0.064 | (0.515)	|| 11.0705 | (11.0837)	|| 0.0000   |   (0.0013)	||
1     |  [560/23828]	|| 0.060 | (0.515)	|| 11.1207 | (11.0826)	|| 0.0000   |   (0.0013)	||
1     |  [570/23828]	|| 0.064 | (0.518)	|| 11.0823 | (11.0827)	|| 0.0000   |   (0.0013)	||
1     |  [580/23828]	|| 0.312 | (0.518)	|| 11.0206 | (11.0831)	|| 0.0000   |   (0.0012)	||
1     |  [590/23828]	|| 0.062 | (0.522)	|| 11.0474 | (11.0815)	|| 0.0000   |   (0.0012)	||
1     |  [600/23828]	|| 0.085 | (0.521)	|| 11.1446 | (11.0803)	|| 0.0000   |   (0.0012)	||
1     |  [610/23828]	|| 0.062 | (0.525)	|| 11.0555 | (11.0780)	|| 0.0000   |   (0.0012)	||
1     |  [620/23828]	|| 0.057 | (0.525)	|| 11.0748 | (11.0777)	|| 0.0000   |   (0.0012)	||
1     |  [630/23828]	|| 0.067 | (0.528)	|| 11.0714 | (11.0752)	|| 0.0000   |   (0.0011)	||
1     |  [640/23828]	|| 0.056 | (0.528)	|| 11.1000 | (11.0749)	|| 0.0000   |   (0.0011)	||
1     |  [650/23828]	|| 0.062 | (0.530)	|| 10.8872 | (11.0725)	|| 0.0000   |   (0.0011)	||
