,0
172,8.532658035273915
173,8.53373317011324
174,8.534982042550384
175,8.536030668569142
176,8.533049174543297
177,8.534830075055607
178,8.533217895420021
179,8.533623680977392
180,8.534163389764078
181,8.534873112449484
182,8.53532319326262
183,8.53546039187748
184,8.53681737658593
185,8.535972572784203
186,8.536196176991188
187,8.537677188133213
188,8.539302502187525
189,8.539856573043357
190,8.54008716559375
191,8.510983964350908
192,8.520929574048774
193,8.521712110748345
194,8.52257475118502
195,8.524089906792003
196,8.523204164150744
197,8.523746454867682
198,8.524102430715061
199,8.512118305063822
200,8.506418249906892
201,8.507177148821603
202,8.507982635616749
203,8.508710458630379
204,8.506910085632098
205,8.508591093778286
206,8.508860676292793
207,8.509249066754645
208,8.505624089042389
209,8.505591263970162
210,8.48867336516789
211,8.494538100519796
212,8.4946116569419
213,8.49644906596992
214,8.497070322534093
215,8.498102338422258
216,8.496132923695756
217,8.495912001475185
218,8.497070248233697
219,8.488606112899568
220,8.484050653605415
221,8.484129647479257
222,8.478939716835937
223,8.47957329302892
224,8.479277503576219
225,8.48101914171071
226,8.481472717704017
227,8.482143405496492
228,8.482919820967414
229,8.483437673471755
230,8.48460474270794
231,8.484235092795727
232,8.484750590141166
233,8.485341417626444
234,8.486387244900003
235,8.486331888216316
236,8.48314667801857
237,8.484636812394724
238,8.484610528753285
239,8.469953558137476
240,8.475899319021785
241,8.476387491873536
242,8.47645941711331
243,8.476605711146687
244,8.477200225268481
245,8.47712755904653
246,8.474603350315206
247,8.46128163817306
248,8.4635414322944
249,8.461574562397619
250,8.462780990309469
251,8.458409009451337
252,8.454645250923262
253,8.456063012331308
254,8.457244169576597
255,8.45667621852988
256,8.45803454634513
257,8.459522618676772
258,8.460336403309695
259,8.461241454206364
260,8.461210354123946
261,8.461924759340505
262,8.462817867818856
263,8.46357941170839
264,8.46359665802835
265,8.463783986575304
266,8.464720800612502
267,8.46552048070528
268,8.466556038673865
269,8.46723475792967
270,8.466813830048206
271,8.467525288048744
272,8.468607185133692
273,8.469903908261813
274,8.466786498408142
275,8.468526956048475
276,8.468929933630026
277,8.464558175874608
278,8.466080011510986
279,8.466946785922907
280,8.4668664161588
281,8.467041905738517
282,8.468061598477757
283,8.468714231032124
284,8.46816217027439
285,8.468765490317352
286,8.469717741146425
287,8.47026320083481
288,8.470916638859789
289,8.471706219224705
290,8.472440546408409
291,8.473135385068263
292,8.473684599578826
293,8.472579578668922
294,8.47246141367291
295,8.471796782984342
296,8.471954658973237
297,8.472971494621254
298,8.472664678597138
299,8.471720341303818
300,8.472222927418775
301,8.47107895476176
302,8.471206513717545
303,8.471561504142365
304,8.471849364585697
305,8.471513349523564
306,8.472450696156812
307,8.471976183991462
308,8.47326501555709
309,8.474051109960511
310,8.474731355865645
311,8.47546426789366
312,8.475861343471655
313,8.47662162206655
314,8.477123859892389
315,8.47753407822804
316,8.477276773296342
317,8.477400085340815
318,8.477835600693636
319,8.475446711704762
320,8.477121805899383
321,8.478047601577925
322,8.478709319377767
323,8.478828410296956
324,8.479156386488583
325,8.479089299307732
326,8.479711112096258
327,8.48018936778574
328,8.480345567208403
329,8.48079971632572
330,8.481514002662628
331,8.481404696127699
332,8.481614151664772
333,8.482354310181305
334,8.482894142785582
335,8.483490702331562
336,8.484157803483976
337,8.482311585196767
338,8.481587699277357
339,8.48060191360389
340,8.48023372863021
341,8.481240642459133
342,8.482098329391734
343,8.481981045134955
344,8.482316649095655
345,8.481650028088252
346,8.482676198020707
347,8.483217076491856
348,8.483907039369342
349,8.483800054764767
350,8.484573995859764
351,8.484729758738126
352,8.482982210841188
353,8.483661238690484
354,8.483925753992192
355,8.48449604604629
