1     |  [440/21305]	|| 2.410 | (0.531)	|| 10.6071 | (10.6016)	|| 0.0000   |   (0.0013)	||
1     |  [450/21305]	|| 0.056 | (0.530)	|| 10.5818 | (10.6013)	|| 0.0000   |   (0.0013)	||
1     |  [460/21305]	|| 2.285 | (0.535)	|| 10.6344 | (10.5988)	|| 0.0000   |   (0.0013)	||
1     |  [470/21305]	|| 0.056 | (0.533)	|| 10.6009 | (10.5991)	|| 0.0000   |   (0.0012)	||
1     |  [480/21305]	|| 2.237 | (0.537)	|| 10.7312 | (10.5995)	|| 0.0000   |   (0.0012)	||
1     |  [490/21305]	|| 0.056 | (0.537)	|| 10.6079 | (10.6000)	|| 0.0000   |   (0.0012)	||
1     |  [500/21305]	|| 2.142 | (0.540)	|| 10.2875 | (10.5991)	|| 0.0000   |   (0.0012)	||
1     |  [510/21305]	|| 0.056 | (0.539)	|| 10.5364 | (10.5998)	|| 0.0000   |   (0.0012)	||
1     |  [520/21305]	|| 2.258 | (0.543)	|| 10.1533 | (10.5986)	|| 0.0000   |   (0.0011)	||
1     |  [530/21305]	|| 0.056 | (0.542)	|| 10.5974 | (10.5979)	|| 0.0000   |   (0.0011)	||
1     |  [540/21305]	|| 2.019 | (0.545)	|| 10.5786 | (10.5969)	|| 0.0000   |   (0.0011)	||
1     |  [550/21305]	|| 0.057 | (0.546)	|| 10.5647 | (10.5948)	|| 0.0000   |   (0.0011)	||
1     |  [560/21305]	|| 0.936 | (0.547)	|| 10.6363 | (10.5955)	|| 0.0000   |   (0.0010)	||
1     |  [570/21305]	|| 0.058 | (0.549)	|| 10.4781 | (10.5945)	|| 0.0000   |   (0.0010)	||
1     |  [580/21305]	|| 0.593 | (0.549)	|| 10.6193 | (10.5920)	|| 0.0000   |   (0.0010)	||
1     |  [590/21305]	|| 0.063 | (0.551)	|| 10.7176 | (10.5914)	|| 0.0000   |   (0.0010)	||
1     |  [600/21305]	|| 1.562 | (0.553)	|| 10.4069 | (10.5919)	|| 0.0000   |   (0.0010)	||
1     |  [610/21305]	|| 0.056 | (0.554)	|| 10.6721 | (10.5930)	|| 0.0000   |   (0.0010)	||
1     |  [620/21305]	|| 0.940 | (0.555)	|| 10.6132 | (10.5939)	|| 0.0000   |   (0.0009)	||
1     |  [630/21305]	|| 0.056 | (0.557)	|| 10.5773 | (10.5936)	|| 0.0000   |   (0.0009)	||
1     |  [640/21305]	|| 0.228 | (0.556)	|| 10.6682 | (10.5946)	|| 0.0000   |   (0.0009)	||
1     |  [650/21305]	|| 0.063 | (0.559)	|| 10.7017 | (10.5958)	|| 0.0000   |   (0.0009)	||
1     |  [660/21305]	|| 0.054 | (0.557)	|| 10.4702 | (10.5931)	|| 0.0000   |   (0.0009)	||
1     |  [670/21305]	|| 0.056 | (0.560)	|| 10.6700 | (10.5898)	|| 0.0000   |   (0.0009)	||
1     |  [680/21305]	|| 0.482 | (0.559)	|| 10.7088 | (10.5908)	|| 0.0000   |   (0.0009)	||
1     |  [690/21305]	|| 0.056 | (0.561)	|| 10.6971 | (10.5917)	|| 0.0000   |   (0.0009)	||
1     |  [700/21305]	|| 1.717 | (0.562)	|| 10.6302 | (10.5907)	|| 0.0000   |   (0.0008)	||
1     |  [710/21305]	|| 0.053 | (0.562)	|| 10.6938 | (10.5910)	|| 0.0000   |   (0.0008)	||
1     |  [720/21305]	|| 2.361 | (0.565)	|| 10.5830 | (10.5910)	|| 0.0000   |   (0.0008)	||
1     |  [730/21305]	|| 0.056 | (0.564)	|| 10.6568 | (10.5917)	|| 0.0000   |   (0.0008)	||
1     |  [740/21305]	|| 1.965 | (0.567)	|| 10.6445 | (10.5919)	|| 0.0000   |   (0.0008)	||
1     |  [750/21305]	|| 0.064 | (0.567)	|| 10.6020 | (10.5924)	|| 0.0000   |   (0.0008)	||
1     |  [760/21305]	|| 1.531 | (0.568)	|| 10.5831 | (10.5929)	|| 0.0000   |   (0.0008)	||
1     |  [770/21305]	|| 0.056 | (0.569)	|| 10.5836 | (10.5921)	|| 0.0000   |   (0.0008)	||
1     |  [780/21305]	|| 1.235 | (0.569)	|| 10.6368 | (10.5925)	|| 0.0000   |   (0.0008)	||
